WA,1326513.91
DE,49673.47
DC,1341691.45
WI,249853.71
WV,72169.32
HI,45780.59
FL,2922473.95
WY,3255.73
NH,95996.83
NJ,596420.93
NM,14135.45
TX,5119606.3
LA,305432.85
NC,3565278.75
ND,9113.17
NE,1386035.61
TN,926941.81
NY,8063267.14
PA,6892273.89
CA,136294411.66
NV,44774.42
VA,978344.51
CO,6501598.28
AK,1982.3
AL,664613.37
AR,425954.49
VT,50000.0
IL,2066136.87
GA,1275118.49
IN,105306.71
IA,311841.97
OK,151854.1
AZ,873806.99
ID,724.27
CT,362825.31
ME,34219.71
MD,587363.21
MA,16384847.7
OH,7829736.57
UT,866509.91
MO,4610471.52
MN,711893.68
MI,1683646.36
RI,187819.47
KS,157175.7
MT,65066.99
MS,111173.59
PR,32838.45
SC,242312.89
KY,273074.55
OR,493947.55
SD,30253.47
