WA,9173218.2
DE,1203309.67
DC,3040754.89
WI,2491978.34
WV,1965483.98
HI,520710.42
FL,33441005.53
WY,178802.29
NH,1545882.79
NJ,12961304.98
NM,419842.12
TX,51055119.28
LA,1621015.3
NC,15493807.73
ND,386023.87
NE,2123011.12
TN,9268286.51
NY,50267164.38
PA,25819061.98
CA,46327098.43
NV,4471380.18
VA,10436971.32
CO,5262106.89
AK,182623.56
AL,1582767.14
AR,1702430.15
VT,350632.62
IL,16324972.01
GA,12412791.64
IN,8954360.67
IA,1646411.6
OK,4042650.31
AZ,10886498.0
ID,603071.26
CT,6281955.53
ME,775456.62
MD,9624757.96
MA,25196875.75
OH,17964917.95
UT,4469482.77
MO,13051452.61
MN,9679535.82
MI,17008067.48
RI,1312142.86
KS,2088870.17
MT,249803.19
MS,2739712.02
PR,883533.4
SC,5560412.92
KY,6444173.57
OR,3595132.95
SD,893242.21
